Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage
UP000001028	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1) (HEV-3) (Hepatitis E virus genotype 3 (isolate Swine/United States/Meng))	512345	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Hepeviridae, Orthohepevirinae, Paslahepevirus, Hepatitis E virus, Hepatitis E virus type 3
UP000001061	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1)	11927	9		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Deltaretrovirus priTlym1, Primate T-lymphotropic virus 1, Human T-cell leukemia virus type I, HTLV-1 subtype A
UP000001063	Simian foamy virus (isolate chimpanzee) (SFVcpz)	298339	5		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, unclassified Spumaretrovirinae, Simian foamy virus
UP000001098	Feline calicivirus (strain Cat/United States/Urbana/1960) (FCV)	292349	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Vesivirus, Vesivirus felis, Feline calicivirus
UP000001440	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	11151	9		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Alphacoronavirus, Tegacovirus, Alphacoronavirus suis, Alphacoronavirus 1, Transmissible gastroenteritis virus
UP000001650	Human astrovirus-1 (HAstV-1)	12456	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus hominis, Mamastrovirus 1
UP000001667	Barley stripe mosaic virus (BSMV)	12327	7		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Virgaviridae, Hordeivirus, Hordeivirus hordei
UP000002101	Spiroplasma virus 4 (SpV4)	2928746	9		Unknown	Viruses, Monodnaviria, Sangervirae, Phixviricota, Malgrandaviricetes, Petitvirales, Microviridae, Gokushovirinae, Spiromicrovirus, Spiromicrovirus SpV4
UP000002238	Avian leukosis virus subgroup A (isolate RSA) (ALV-A RSA)	363745	4		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Alpharetrovirus, Alpharetrovirus avileu, Avian leukosis virus
UP000002240	Xenotropic MuLV-related virus (isolate VP62) (XMRV)	373193	3		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Gammaretrovirus, unclassified Gammaretrovirus, Murine leukemia-related retroviruses, XMRV-related viruses, Xenotropic MuLV-related virus
UP000002241	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	11706	9		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, unclassified Orthoretrovirinae, Lentivirus, Lentivirus humimdef1, Human immunodeficiency virus type 1, HIV-1 group M, HIV-1 M:B
UP000002242	Human immunodeficiency virus type 2 subtype A (isolate BEN) (HIV-2)	11714	9		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, unclassified Orthoretrovirinae, Lentivirus, Lentivirus humimdef2, Human immunodeficiency virus 2, HIV-2 subtype A
UP000002317	Bovine viral diarrhea virus (isolate NADL) (BVDV) (Mucosal disease virus)	11100	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Pestivirus, Pestivirus bovis, Bovine viral diarrhea virus isolates and strains
UP000002319	Encephalomyocarditis virus (strain Rueckert) (EMCV)	2870365	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cardiovirus, Cardiovirus rueckerti, Cardiovirus A
UP000002327	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)	11285	6		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Vesiculovirus, Vesiculovirus indiana, Vesicular stomatitis Indiana virus
UP000002328	Newcastle disease virus (strain Chicken/United States/B1/48) (NDV)	652953	8		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Avulavirinae, Orthoavulavirus, Orthoavulavirus javaense, Avian paramyxovirus 1
UP000002330	Nipah virus	3052225	9		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Henipavirus
UP000002473	Lassa virus (strain Mouse/Sierra Leone/Josiah/1976) (LASV)	11622	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Arenaviridae, Mammarenavirus, unclassified Mammarenavirus, Mammarenavirus lassaense
UP000002474	Lymphocytic choriomeningitis virus (strain Armstrong) (LCMV)	11624	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Arenaviridae, Mammarenavirus, Mammarenavirus choriomeningitidis
UP000002476	Bunyamwera virus (BUNV)	35304	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Peribunyaviridae, Orthobunyavirus, Orthobunyavirus bunyamweraense
UP000002477	Rift valley fever virus (strain ZH-548 M12) (RVFV)	11589	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Phlebovirus, Phlebovirus riftense
UP000002500	Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)	11059	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus denguei, Dengue virus, Dengue virus type 1
UP000002672	Hepatitis C virus genotype 3a (isolate NZL1) (HCV)	356415	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis, Hepatitis C virus subtype 3a
UP000002678	Echovirus 30 (strain Bastianni)	176284	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus betacoxsackie, Enterovirus B, Echovirus E5
UP000002680	Hepatitis C virus genotype 2b (isolate HC-J8) (HCV)	11115	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis, Hepatitis C virus genotype 2, Hepatitis C virus subtype 2b
UP000002682	Hepatitis C virus genotype 2a (isolate HC-J6) (HCV)	11113	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis, Hepatitis C virus genotype 2, Hepatitis C virus subtype 2a
UP000002684	Echovirus 11 (strain Gregory)	31705	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus betacoxsackie, Enterovirus B, Echovirus E11
UP000002692	Hepatitis C virus genotype 3k (isolate JK049) (HCV)	356417	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis, Hepatitis C virus genotype 3, Hepatitis C virus subtype 3k
UP000002694	Echovirus 1 (strain Human/Egypt/Farouk/1951) (E-1)	103908	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus betacoxsackie, Enterovirus B, Echovirus E1
UP000004992	Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)	28285	31		Unknown	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Polisuviricotina, Pharingeaviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Mastadenovirus caesari, Human mastadenovirus C
UP000006040	Acute bee paralysis virus (strain Rothamsted) (ABPV)	1217067	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Dicistroviridae, Aparavirus, Aparavirus apisacutum, Acute bee paralysis virus
UP000006361	Red clover mottle virus (RCMV)	12262	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Comovirus, Comovirus trifolii
UP000006540	Mouse mammary tumor virus (strain C3H) (MMTV)	11759	5		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Betaretrovirus, Betaretrovirus murmamtum, Mouse mammary tumor virus
UP000006543	Subterranean clover stunt C6 alphasatellite (SCSC6A)	1458459	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Nanoalphasatellitinae, Clostunsatellite, Clostunsatellite trifolii, Subterranean clover stunt alphasatellite 2
UP000006561	Sindbis virus subtype Ockelbo (strain Edsbyn 82-5) (OCKV) (Ockelbo virus)	31699	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus sindbis, Sindbis virus
UP000006566	Bovine enterovirus (strain VG-5-27) (BEV)	12065	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae, Enterovirus, Enterovirus eibovi, Enterovirus E
UP000006567	Bovine papillomavirus type 1	337052	9		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, unclassified Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Deltapapillomavirus
UP000006568	Alphavirus salmon subtype 2 (SAV2) (Sleeping disease virus)	78540	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus salmon, Alphavirus salmon subtype 1
UP000006574	Bat coronavirus HKU4 (BtCoV) (BtCoV/HKU4/2004)	694007	10		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Merbecovirus, Betacoronavirus tylonycteridis
UP000006576	Bat coronavirus HKU9 (BtCoV) (BtCoV/HKU9)	694006	9		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Nobecovirus, Betacoronavirus rousetti
UP000006579	Ross river virus (strain NB5092) (RRV)	11031	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus rossriver, Ross River virus
UP000006624	Human parvovirus B19 (strain HV) (HPV B19)	648237	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Erythroparvovirus, Erythroparvovirus primate1, Human parvovirus B19
UP000006625	Moloney murine leukemia virus (isolate Shinnick) (MoMLV)	928306	3		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Gammaretrovirus, Gammaretrovirus murleu, Murine leukemia virus, Moloney murine leukemia virus
UP000006674	Tomato spotted wilt virus (strain Brazilian Br-01) (TSWV)	36413	5		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Tospoviridae, Orthotospovirus, Tomato spotted wilt virus
UP000006675	Hepatitis delta virus genotype I (isolate D380) (HDV)	31762	2		Unknown	Viruses, Ribozyviria, Ribozyviria incertae sedis, Kolmioviridae, Deltavirus, Deltavirus italiense, Hepatitis delta virus
UP000006685	Plum pox potyvirus (isolate NAT) (PPV)	12213	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus plumpoxi, Plum pox virus
UP000006687	Porcine reproductive and respiratory syndrome virus (strain Lelystad) (PRRSV)	11049	10		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Arteriviridae, unclassified Arteriviridae, Variarterivirinae, Betaarterivirus, Eurpobartevirus, Betaarterivirus europensis, Betaarterivirus suid 1
UP000006688	Papaya ringspot virus (strain P / mutant HA)	31731	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus papayanuli, Papaya ringspot virus, Papaya ringspot virus P
