order	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Nitrosopumilales	Archaea	UP000509771	1470066	Nitrosopumilus cobalaminigenes	100.0	Unknown	1800	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000509771/UP000509771_1470066.gene2acc.gz
Nitrososphaerales	Archaea	UP000028194	1459636	Candidatus Nitrososphaera evergladensis SR1	98.1	Unknown	3486	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000028194/UP000028194_1459636.gene2acc.gz
Nitrosotaleales	Archaea	UP000196239	1078905	Nitrosotalea devaniterrae	98.8	Unknown	2102	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000196239/UP000196239_1078905.gene2acc.gz
Promethearchaeales	Archaea	UP000321408	2594042	Promethearchaeum syntrophicum	88.7	Unknown	3856	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000321408/UP000321408_2594042.gene2acc.gz
Sulfolobales	Archaea	UP000427373	69656	Sulfurisphaera ohwakuensis	99.4	Unknown	2759	28	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000427373/UP000427373_69656.gene2acc.gz
Thermococcales	Archaea	UP000000536	69014	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	100.0	Unknown	2301	35	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000536/UP000000536_69014.gene2acc.gz
Thermofilales	Archaea	UP000000641	368408	Thermofilum pendens (strain DSM 2475 / Hrk 5)	96.3	Unknown	1876	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000641/UP000000641_368408.gene2acc.gz
Thermoplasmatales	Archaea	UP000192315	1122961	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3)	99.7	Unknown	1527	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000192315/UP000192315_1122961.gene2acc.gz
Thermoproteales	Archaea	UP000006681	572478	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	99.8	Unknown	2493	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000006681/UP000006681_572478.gene2acc.gz
Abditibacteriales	Bacteria	UP000237684	1960156	Abditibacterium utsteinense	93.5	Unknown	3182	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000237684/UP000237684_1960156.gene2acc.gz
Acanthopleuribacterales	Bacteria	UP000663929	2818388	Sulfidibacter corallicola	65.9	Unknown	6898	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000663929/UP000663929_2818388.gene2acc.gz
Acaryochloridales	Bacteria	UP000000268	329726	Acaryochloris marina (strain MBIC 11017)	98.4	Unknown	8172	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000268/UP000000268_329726.gene2acc.gz
Acetivibrionales	Bacteria	UP000005435	720554	Acetivibrio clariflavus (strain DSM 19732 / NBRC 101661 / EBR45) (Clostridium clariflavum)	99.6	Unknown	3774	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000005435/UP000005435_720554.gene2acc.gz
Acetobacterales	Bacteria	UP000199473	1123062	Falsiroseomonas stagni DSM 19981	100.0	Unknown	5902	210	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199473/UP000199473_1123062.gene2acc.gz
Acholeplasmatales	Bacteria	UP000620133	2735436	Mariniplasma anaerobium	100.0	Unknown	1771	51	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000620133/UP000620133_2735436.gene2acc.gz
Acidaminococcales	Bacteria	UP000443070	33025	Phascolarctobacterium faecium	97.2	Unknown	2289	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000443070/UP000443070_33025.gene2acc.gz
Acidiferrobacterales	Bacteria	UP000243180	1620215	Sulfuricaulis limicola	96.7	Unknown	2756	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000243180/UP000243180_1620215.gene2acc.gz
Acidimicrobiales	Bacteria	UP001216390	467976	Iamia majanohamensis	80.9	Unknown	4261	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001216390/UP001216390_467976.gene2acc.gz
Acidithiobacillales	Bacteria	UP001727337	1123368	Thermithiobacillus tepidarius DSM 3134	99.5	Unknown	2861	20	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001727337/UP001727337_1123368.gene2acc.gz
Acidothermales	Bacteria	UP000008221	351607	Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	97.3	Unknown	2157	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008221/UP000008221_351607.gene2acc.gz
Actinomycetales	Bacteria	UP000617426	29316	Schaalia hyovaginalis	99.0	Unknown	2311	82	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000617426/UP000617426_29316.gene2acc.gz
Actinopolysporales	Bacteria	UP001180845	1352928	Haloactinomyces albus	99.3	Unknown	4847	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001180845/UP001180845_1352928.gene2acc.gz
Aeromonadales	Bacteria	UP001304847	648	Aeromonas caviae (Aeromonas punctata)	100.0	Unknown	4798	55	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001304847/UP001304847_648.gene2acc.gz
Aerosakkonematales	Bacteria	UP001576774	3153654	Floridaenema aerugineum BLCC-F46	99.6	Unknown	7163	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001576774/UP001576774_3153654.gene2acc.gz
Allobogoriellales	Bacteria	UP000250222	860221	Georgenia satyanarayanai	99.4	Unknown	3558	16	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000250222/UP000250222_860221.gene2acc.gz
Alteromonadales	Bacteria	UP000189545	225848	Shewanella psychrophila	100.0	Unknown	5399	336	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000189545/UP000189545_225848.gene2acc.gz
Anaerolineales	Bacteria	UP000253922	229919	Anaerolinea thermolimosa	97.8	Unknown	552	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000253922/UP000253922_229919.gene2acc.gz
Anaeroplasmatales	Bacteria	UP000266506	2088	Anaeroplasma bactoclasticum	96.7	Unknown	1953	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000266506/UP000266506_2088.gene2acc.gz
Aquificales	Bacteria	UP000267841	246264	Hydrogenivirga caldilitoris	99.6	Unknown	1885	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000267841/UP000267841_246264.gene2acc.gz
Ardenticatenales	Bacteria	UP000037784	872965	Ardenticatena maritima	94.5	Unknown	3144	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000037784/UP000037784_872965.gene2acc.gz
Arenicellales	Bacteria	UP000253083	644221	Arenicella xantha	95.4	Unknown	3918	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000253083/UP000253083_644221.gene2acc.gz
Armatimonadales	Bacteria	UP000520814	685828	Armatimonas rosea	89.5	Unknown	5895	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000520814/UP000520814_685828.gene2acc.gz
Atribacterales	Bacteria	UP000594463	2847778	Atribacter laminatus	91.1	Unknown	2724	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000594463/UP000594463_2847778.gene2acc.gz
Bacteriovoracales	Bacteria	UP001302274	3088717	Bacteriovorax antarcticus	86.3	Unknown	4092	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001302274/UP001302274_3088717.gene2acc.gz
Bacteroidales	Bacteria	UP000003741	997874	Bacteroides cellulosilyticus CL02T12C19	100.0	Unknown	6274	238	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000003741/UP000003741_997874.gene2acc.gz
Balneolales	Bacteria	UP000317557	1302730	Gracilimonas mengyeensis	89.4	Unknown	3810	16	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000317557/UP000317557_1302730.gene2acc.gz
Bdellovibrionales	Bacteria	UP000075320	959	Bdellovibrio bacteriovorus	96.0	Unknown	3712	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000075320/UP000075320_959.gene2acc.gz
Bifidobacteriales	Bacteria	UP000288607	2306973	Bifidobacterium callimiconis	96.6	Unknown	2263	122	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000288607/UP000288607_2306973.gene2acc.gz
Blastocatellales	Bacteria	UP000031518	454194	Pyrinomonas methylaliphatogenes	94.3	Unknown	3179	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000031518/UP000031518_454194.gene2acc.gz
Brachyspirales	Bacteria	UP000043763	381802	Brachyspira suanatina	96.2	Unknown	2816	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000043763/UP000043763_381802.gene2acc.gz
Bradymonadales	Bacteria	UP000315995	2292766	Persicimonas caeni	93.4	Unknown	5752	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000315995/UP000315995_2292766.gene2acc.gz
Brevinematales	Bacteria	UP001056539	2828656	Thermospira aquatica	90.4	Unknown	2323	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001056539/UP001056539_2828656.gene2acc.gz
Bryobacterales	Bacteria	UP000593892	1473598	Paludibaculum fermentans	97.3	Unknown	7446	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000593892/UP000593892_1473598.gene2acc.gz
Burkholderiales	Bacteria	UP001629230	1211383	Paraburkholderia dipogonis	100.0	Unknown	9355	906	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001629230/UP001629230_1211383.gene2acc.gz
Caldicellulosiruptorales	Bacteria	UP001164745	29324	Caldicellulosiruptor naganoensis	96.8	Unknown	2244	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001164745/UP001164745_29324.gene2acc.gz
Caldicoprobacterales	Bacteria	UP000198577	937334	Caldicoprobacter faecalis	98.4	Unknown	2413	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000198577/UP000198577_937334.gene2acc.gz
Caldilineales	Bacteria	UP000317371	1204385	Litorilinea aerophila	97.8	Unknown	4605	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000317371/UP000317371_1204385.gene2acc.gz
Caldisericales	Bacteria	UP000004793	511051	Caldisericum exile (strain DSM 21853 / NBRC 104410 / AZM16c01)	75.0	Unknown	1566	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004793/UP000004793_511051.gene2acc.gz
Calditrichales	Bacteria	UP000004671	880073	Caldithrix abyssi (strain DSM 13497 / VKM B-2286 / LF13)	98.4	Unknown	3674	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004671/UP000004671_880073.gene2acc.gz
Campylobacterales	Bacteria	UP000000799	192222	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	100.0	Unknown	1623	166	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000799/UP000000799_192222.gene2acc.gz
Candidatus Acidiferrales	Bacteria	UP000567293	2741543	Candidatus Acidiferrum panamense	40.8	Unknown	6020	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000567293/UP000567293_2741543.gene2acc.gz
Candidatus Babeliales	Bacteria	UP000254834	2066483	Candidatus Chromulinivorax destructor	63.7	Unknown	1075	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000254834/UP000254834_2066483.gene2acc.gz
Candidatus Berkiellales	Bacteria	UP000051497	295108	Candidatus Berkiella aquae	97.8	Unknown	3130	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000051497/UP000051497_295108.gene2acc.gz
Candidatus Bipolaricaulales	Bacteria	UP000249818	2026885	Candidatus Bipolaricaulis anaerobius	74.2	Unknown	1319	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000249818/UP000249818_2026885.gene2acc.gz
Candidatus Brocadiales	Bacteria	UP000002985	247490	Candidatus Jettenia caeni	78.6	Unknown	3545	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002985/UP000002985_247490.gene2acc.gz
Candidatus Chloroheliales	Bacteria	UP001431572	3003348	Candidatus Chlorohelix allophototropha	93.7	Unknown	4920	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001431572/UP001431572_3003348.gene2acc.gz
Candidatus Cloacimonadales	Bacteria	UP000002019	459349	Cloacimonas acidaminovorans (strain Evry)	85.5	Unknown	1813	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002019/UP000002019_459349.gene2acc.gz
Candidatus Comchoanobacterales	Bacteria	UP001320768	2919597	Candidatus Synchoanobacter obligatus	55.2	Unknown	993	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001320768/UP001320768_2919597.gene2acc.gz
Candidatus Cryosericales	Bacteria	UP000266113	2290913	Candidatus Cryosericum septentrionale	79.0	Unknown	1974	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000266113/UP000266113_2290913.gene2acc.gz
Candidatus Desulfofervidales	Bacteria	UP000070560	1621989	Desulfofervidus auxilii	92.7	Unknown	2473	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000070560/UP000070560_1621989.gene2acc.gz
Candidatus Dormibacterales	Bacteria	UP000612893	3127016	Candidatus Nephthysia bennettiae	85.5	Unknown	5114	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000612893/UP000612893_3127016.gene2acc.gz
Candidatus Entotheonellales	Bacteria	UP000019141	1429438	Entotheonella factor	87.1	Unknown	8429	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000019141/UP000019141_1429438.gene2acc.gz
Candidatus Hakubellales	Bacteria	UP000588083	2754717	Candidatus Hakubella thermalkaliphila	53.1	Unknown	2607	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000588083/UP000588083_2754717.gene2acc.gz
Candidatus Izemoplasmatales	Bacteria	UP000514720	2782163	Candidatus Xianfuyuplasma coldseepsis	98.7	Unknown	1861	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000514720/UP000514720_2782163.gene2acc.gz
Candidatus Johnevansiales	Bacteria	UP000032420	1495769	Candidatus Johnevansia muelleri	42.6	Unknown	330	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000032420/UP000032420_1495769.gene2acc.gz
Candidatus Lucifugimonadales	Bacteria	UP001219901	3038979	Candidatus Lucifugimonas marina	86.7	Unknown	2769	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001219901/UP001219901_3038979.gene2acc.gz
Candidatus Mcinerneyibacteriales	Bacteria	UP000324143	2703815	Candidatus Mcinerneyibacterium aminivorans	83.1	Unknown	2016	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000324143/UP000324143_2703815.gene2acc.gz
Candidatus Methylomirabilales	Bacteria	UP000241436	2033718	Candidatus Methylomirabilis limnetica	96.8	Unknown	2413	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000241436/UP000241436_2033718.gene2acc.gz
Candidatus Moduliflexales	Bacteria	UP000030700	1499966	Candidatus Moduliflexus flocculans	88.7	Unknown	5960	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000030700/UP000030700_1499966.gene2acc.gz
Candidatus Nanogingivales	Bacteria	UP001190925	2171992	Candidatus Nanogingivalis gingivitcus	62.1	Unknown	596	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001190925/UP001190925_2171992.gene2acc.gz
Candidatus Nanopelagicales	Bacteria	UP000217215	1884904	Candidatus Planktophila sulfonica	94.5	Unknown	1334	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000217215/UP000217215_1884904.gene2acc.gz
Candidatus Nanosyncoccales	Bacteria	UP001191019	2171997	Candidatus Nanosyncoccus alces	61.3	Unknown	712	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001191019/UP001191019_2171997.gene2acc.gz
Candidatus Pelagibacterales	Bacteria	UP000002528	335992	Pelagibacter ubique (strain HTCC1062)	79.2	Unknown	1354	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002528/UP000002528_335992.gene2acc.gz
Candidatus Promineifilales	Bacteria	UP000215027	1806508	Candidatus Promineifilum breve	95.6	Unknown	4566	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000215027/UP000215027_1806508.gene2acc.gz
Candidatus Puniceispirillales	Bacteria	UP000007460	488538	Puniceispirillum marinum (strain IMCC1322)	97.5	Unknown	2545	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000007460/UP000007460_488538.gene2acc.gz
Candidatus Saccharimonadales	Bacteria	UP000013893	1332188	Candidatus Saccharimonas aalborgensis	67.7	Unknown	1033	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000013893/UP000013893_1332188.gene2acc.gz
Candidatus Tenderiales	Bacteria	UP000055136	1748243	Candidatus Tenderia electrophaga	98.6	Unknown	3329	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000055136/UP000055136_1748243.gene2acc.gz
Candidatus Termititenacales	Bacteria	UP000275925	2218525	Candidatus Termititenax persephonae	83.9	Unknown	1739	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000275925/UP000275925_2218525.gene2acc.gz
