family	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Halorutilaceae	Archaea	UP001149411	2487751	Halorutilus salinus	69.9	Unknown	2290	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001149411/UP001149411_2487751.gene2acc.gz
Methanobacteriaceae	Archaea	UP001068021	408577	Methanobacterium veterum	100.0	Unknown	3262	35	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001068021/UP001068021_408577.gene2acc.gz
Methanocalculaceae	Archaea	UP001524383	106207	Methanocalculus taiwanensis	98.1	Unknown	2244	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001524383/UP001524383_106207.gene2acc.gz
Methanocaldococcaceae	Archaea	UP000002063	579137	Methanocaldococcus vulcanius (strain ATCC 700851 / DSM 12094 / M7) (Methanococcus vulcanius)	99.4	Unknown	1740	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002063/UP000002063_579137.gene2acc.gz
Methanocellaceae	Archaea	UP001320159	2052831	Methanooceanicella nereidis	96.6	Unknown	3016	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001320159/UP001320159_2052831.gene2acc.gz
Methanococcaceae	Archaea	UP000000590	267377	Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL)	99.7	Close to standard (low value)	1722	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000590/UP000000590_267377.gene2acc.gz
Methanocorpusculaceae	Archaea	UP000000365	410358	Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)	93.7	Unknown	1739	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000365/UP000000365_410358.gene2acc.gz
Methanomassiliicoccaceae	Archaea	UP000030787	1577791	Candidatus Methanoplasma termitum	98.5	Unknown	1393	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000030787/UP000030787_1577791.gene2acc.gz
Methanomethylophilaceae	Archaea	UP000012672	1236689	Methanomethylophilus alvi (strain Mx1201)	99.1	Unknown	1643	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000012672/UP000012672_1236689.gene2acc.gz
Methanomicrobiaceae	Archaea	UP000005095	28892	Methanofollis liminatans DSM 4140	99.9	Unknown	2423	27	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000005095/UP000005095_28892.gene2acc.gz
Methanonatronarchaeaceae	Archaea	UP000185744	1903181	Methanohalarchaeum thermophilum	93.6	Unknown	2152	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000185744/UP000185744_1903181.gene2acc.gz
Methanopyraceae	Archaea	UP000001826	190192	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	96.6	Unknown	1687	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001826/UP000001826_190192.gene2acc.gz
Methanoregulaceae	Archaea	UP000010824	593750	Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)	98.3	Unknown	2815	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000010824/UP000010824_593750.gene2acc.gz
Methanosarcinaceae	Archaea	UP000509594	536044	Methanolobus zinderi	100.0	Close to standard (low value)	2600	44	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000509594/UP000509594_536044.gene2acc.gz
Methanospirillaceae	Archaea	UP000001941	323259	Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1)	97.8	Unknown	3087	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001941/UP000001941_323259.gene2acc.gz
Methanothermaceae	Archaea	UP000002315	523846	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	91.7	Unknown	1283	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002315/UP000002315_523846.gene2acc.gz
Methanotrichaceae	Archaea	UP001215956	3033395	Candidatus Methanocrinis alkalitolerans	95.9	Unknown	2422	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001215956/UP001215956_3033395.gene2acc.gz
Nanoarchaeaceae	Archaea	UP000000578	228908	Nanoarchaeum equitans (strain Kin4-M)	60.3	Unknown	536	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000578/UP000000578_228908.gene2acc.gz
Nanobdellaceae	Archaea	UP001055553	2586965	Nanobdella aerobiophila	60.3	Unknown	736	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001055553/UP001055553_2586965.gene2acc.gz
Nanopusillaceae	Archaea	UP000053279	1294122	Nanobsidianus stetteri	57.7	Unknown	647	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000053279/UP000053279_1294122.gene2acc.gz
Natrialbaceae	Archaea	UP000219689	373386	Natrinema ejinorense	99.4	Unknown	4191	67	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000219689/UP000219689_373386.gene2acc.gz
Natronoarchaeaceae	Archaea	UP001500420	926360	Natronoarchaeum mannanilyticum	98.9	Unknown	3566	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001500420/UP001500420_926360.gene2acc.gz
Natronomonadaceae	Archaea	UP001596406	3033939	Halomarina ordinaria	99.0	Unknown	3649	17	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP001596406/UP001596406_3033939.gene2acc.gz
Nitrosopumilaceae	Archaea	UP000509771	1470066	Nitrosopumilus cobalaminigenes	100.0	Unknown	1800	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000509771/UP000509771_1470066.gene2acc.gz
Nitrososphaeraceae	Archaea	UP000028194	1459636	Candidatus Nitrososphaera evergladensis SR1	98.1	Unknown	3486	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000028194/UP000028194_1459636.gene2acc.gz
Nitrosotaleaceae	Archaea	UP000196239	1078905	Nitrosotalea devaniterrae	98.8	Unknown	2102	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000196239/UP000196239_1078905.gene2acc.gz
Picrophilaceae	Archaea	UP000192315	1122961	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3)	99.7	Unknown	1527	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000192315/UP000192315_1122961.gene2acc.gz
Promethearchaeaceae	Archaea	UP000321408	2594042	Promethearchaeum syntrophicum	88.7	Unknown	3856	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000321408/UP000321408_2594042.gene2acc.gz
Pyrodictiaceae	Archaea	UP000196694	1273541	Pyrodictium delaneyi	99.2	Unknown	1990	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000196694/UP000196694_1273541.gene2acc.gz
Sulfolobaceae	Archaea	UP000427373	69656	Sulfurisphaera ohwakuensis	99.4	Unknown	2759	28	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000427373/UP000427373_69656.gene2acc.gz
Thermococcaceae	Archaea	UP000000536	69014	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	100.0	Unknown	2301	35	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000536/UP000000536_69014.gene2acc.gz
Thermofilaceae	Archaea	UP000000641	368408	Thermofilum pendens (strain DSM 2475 / Hrk 5)	96.3	Unknown	1876	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000641/UP000000641_368408.gene2acc.gz
Thermoplasmataceae	Archaea	UP000001024	273075	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	95.9	Unknown	1482	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001024/UP000001024_273075.gene2acc.gz
Thermoproteaceae	Archaea	UP000006681	572478	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	99.8	Unknown	2493	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000006681/UP000006681_572478.gene2acc.gz
Abditibacteriaceae	Bacteria	UP000237684	1960156	Abditibacterium utsteinense	93.5	Unknown	3182	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000237684/UP000237684_1960156.gene2acc.gz
Abyssicoccaceae	Bacteria	UP000277108	1817405	Abyssicoccus albus	90.9	Unknown	1737	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000277108/UP000277108_1817405.gene2acc.gz
Acanthopleuribacteraceae	Bacteria	UP000663929	2818388	Sulfidibacter corallicola	65.9	Unknown	6898	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000663929/UP000663929_2818388.gene2acc.gz
Acaryochloridaceae	Bacteria	UP000000268	329726	Acaryochloris marina (strain MBIC 11017)	98.4	Unknown	8172	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000268/UP000000268_329726.gene2acc.gz
Acetivibrionaceae	Bacteria	UP000005435	720554	Acetivibrio clariflavus (strain DSM 19732 / NBRC 101661 / EBR45) (Clostridium clariflavum)	99.6	Unknown	3774	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000005435/UP000005435_720554.gene2acc.gz
Acetobacteraceae	Bacteria	UP000661507	287609	Neoroseomonas lacus	99.8	Unknown	6119	148	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000661507/UP000661507_287609.gene2acc.gz
Acetomicrobiaceae	Bacteria	UP000199266	1120987	Acetomicrobium thermoterrenum DSM 13490	97.3	Unknown	1897	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199266/UP000199266_1120987.gene2acc.gz
Acetonemataceae	Bacteria	UP000076268	1794912	Anaerosporomusa subterranea	98.2	Unknown	3585	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000076268/UP000076268_1794912.gene2acc.gz
Acholeplasmataceae	Bacteria	UP000620133	2735436	Mariniplasma anaerobium	100.0	Unknown	1771	51	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000620133/UP000620133_2735436.gene2acc.gz
Acidaminobacteraceae	Bacteria	UP000199208	1120920	Acidaminobacter hydrogenoformans DSM 2784	97.6	Unknown	3277	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199208/UP000199208_1120920.gene2acc.gz
Acidaminococcaceae	Bacteria	UP000443070	33025	Phascolarctobacterium faecium	97.2	Unknown	2289	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000443070/UP000443070_33025.gene2acc.gz
Acidiferrobacteraceae	Bacteria	UP000243180	1620215	Sulfuricaulis limicola	96.7	Unknown	2756	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000243180/UP000243180_1620215.gene2acc.gz
Acidilutibacteraceae	Bacteria	UP000287969	2507161	Acidilutibacter cellobiosedens	97.2	Unknown	3396	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000287969/UP000287969_2507161.gene2acc.gz
Acidimicrobiaceae	Bacteria	UP000032360	1280514	Acidithrix ferrooxidans	74.2	Unknown	3548	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000032360/UP000032360_1280514.gene2acc.gz
Acidithiobacillaceae	Bacteria	UP000234329	187490	Acidithiobacillus marinus	98.6	Unknown	2792	18	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000234329/UP000234329_187490.gene2acc.gz
Acidobacteriaceae	Bacteria	UP000535182	3069689	Tunturiibacter gelidiferens	99.8	Unknown	5482	33	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000535182/UP000535182_3069689.gene2acc.gz
Acidocellaceae	Bacteria	UP001156641	1922313	Acidocella aquatica	99.3	Unknown	3768	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001156641/UP001156641_1922313.gene2acc.gz
Acidothermaceae	Bacteria	UP000008221	351607	Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	97.3	Unknown	2157	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008221/UP000008221_351607.gene2acc.gz
Actinomycetaceae	Bacteria	UP000617426	29316	Schaalia hyovaginalis	99.0	Unknown	2311	82	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000617426/UP000617426_29316.gene2acc.gz
Actinopolymorphaceae	Bacteria	UP000638648	648752	Actinopolymorpha pittospori	96.3	Unknown	10013	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000638648/UP000638648_648752.gene2acc.gz
Actinopolysporaceae	Bacteria	UP001180845	1352928	Haloactinomyces albus	99.3	Unknown	4847	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001180845/UP001180845_1352928.gene2acc.gz
Actinospicaceae	Bacteria	UP000675781	1508375	Actinospica durhamensis	99.7	Unknown	8427	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000675781/UP000675781_1508375.gene2acc.gz
Acutalibacteraceae	Bacteria	UP000719942	2820301	Caproiciproducens faecalis	99.2	Unknown	2851	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000719942/UP000719942_2820301.gene2acc.gz
Aerococcaceae	Bacteria	UP000823401	87458	Ruoffia tabacinasalis	98.3	Unknown	2229	28	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000823401/UP000823401_87458.gene2acc.gz
Aeromonadaceae	Bacteria	UP001304847	648	Aeromonas caviae (Aeromonas punctata)	100.0	Unknown	4798	49	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001304847/UP001304847_648.gene2acc.gz
Aerosakkonemataceae	Bacteria	UP001576774	3153654	Floridaenema aerugineum BLCC-F46	99.6	Unknown	7163	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001576774/UP001576774_3153654.gene2acc.gz
Aestuariirhabdaceae	Bacteria	UP000280792	2528527	Aestuariirhabdus litorea	99.2	Unknown	3340	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000280792/UP000280792_2528527.gene2acc.gz
Aestuariispiraceae	Bacteria	UP000287447	2500179	Hwanghaeella grinnelliae	99.4	Unknown	4801	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000287447/UP000287447_2500179.gene2acc.gz
Aestuariivirgaceae	Bacteria	UP000616151	2800327	Taklimakanibacter albus	97.5	Unknown	6879	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000616151/UP000616151_2800327.gene2acc.gz
Afifellaceae	Bacteria	UP000199347	1120955	Afifella marina DSM 2698	99.5	Unknown	3662	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199347/UP000199347_1120955.gene2acc.gz
Ahrensiaceae	Bacteria	UP000509367	2742145	Oricola thermophila	99.7	Unknown	3798	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000509367/UP000509367_2742145.gene2acc.gz
Akkermansiaceae	Bacteria	UP000001031	349741	Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC 81048 / CCUG 64013 / CIP 107961 / Muc)	92.8	Unknown	2137	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001031/UP000001031_349741.gene2acc.gz
Alcaligenaceae	Bacteria	UP000292445	151784	Pigmentiphaga kullae	100.0	Unknown	5833	125	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000292445/UP000292445_151784.gene2acc.gz
Alcanivoracaceae	Bacteria	UP001107961	1094342	Alloalcanivorax xenomutans	99.8	Unknown	4429	17	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001107961/UP001107961_1094342.gene2acc.gz
Algiphilaceae	Bacteria	UP001254608	3075609	Banduia mediterranea	98.4	Unknown	3589	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001254608/UP001254608_3075609.gene2acc.gz
Alicyclobacillaceae	Bacteria	UP000602284	2801339	Tumebacillus amylolyticus	96.2	Unknown	4495	36	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000602284/UP000602284_2801339.gene2acc.gz
Aliterellaceae	Bacteria	UP000032452	1618023	Aliterella atlantica CENA595	93.4	Unknown	4366	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000032452/UP000032452_1618023.gene2acc.gz
Allobogoriellaceae	Bacteria	UP000250222	860221	Georgenia satyanarayanai	99.4	Unknown	3558	16	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000250222/UP000250222_860221.gene2acc.gz
Alloboseaceae	Bacteria	UP000199664	1036779	Bosea lupini	100.0	Unknown	5918	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199664/UP000199664_1036779.gene2acc.gz
Allomicrovenatoraceae	Bacteria	UP000321595	2600177	Microvenator marinus	91.5	Unknown	4727	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000321595/UP000321595_2600177.gene2acc.gz
Allostellaceae	Bacteria	UP000278222	94	Allostella humosa	99.4	Unknown	5422	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000278222/UP000278222_94.gene2acc.gz
Alsobacteraceae	Bacteria	UP001205890	2962936	Alsobacter ponti	99.7	Unknown	4280	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001205890/UP001205890_2962936.gene2acc.gz
Alteromonadaceae	Bacteria	UP000664654	751969	Bowmanella dokdonensis	99.9	Unknown	4560	80	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000664654/UP000664654_751969.gene2acc.gz
Aminiphilaceae	Bacteria	UP000682204	3415223	Aminirod propionatiphilus	98.9	Unknown	2732	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000682204/UP000682204_3415223.gene2acc.gz
Aminithiophilaceae	Bacteria	UP000671879	3029084	Aminithiophilus ramosus	98.6	Unknown	2651	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000671879/UP000671879_3029084.gene2acc.gz
Aminobacteriaceae	Bacteria	UP000002366	572547	Aminobacterium colombiense (strain DSM 12261 / ALA-1)	99.5	Unknown	1872	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002366/UP000002366_572547.gene2acc.gz
